id,producto,categoria,cantidad,precio_unitario,total,fecha,region,descuento
61023,Unidad Smart 420,libros,12,689.49,8273.88,2025-11-01,Sur,0.24
10760,Kit Mini 139,ropa,11,981.15,10792.65,2026-02-16,Este,0.19
65153,Módulo Premium 911,juguetes,11,383.05,4213.55,2026-01-03,Norte,0.06
71928,Módulo Smart 220,juguetes,17,653.12,11103.04,2026-03-14,Sur,0.17
45231,Pack Premium 836,electrónica,8,447.73,3581.84,2025-10-04,Centro,0.24
55976,Dispositivo Plus 472,juguetes,7,433.06,3031.42,2025-10-11,Centro,0.3
33092,Set Premium 716,juguetes,6,613.02,3678.12,2025-05-01,Oeste,0.08
59324,Hub Smart 748,hogar,11,166.09,1826.99,2025-06-16,Sur,0.0
17124,Hub Lite 655,libros,10,759.01,7590.1,2026-01-14,Norte,0.02
65561,Pack Premium 583,hogar,12,342.28,4107.36,2025-09-07,Sur,0.09
53276,Kit Max 538,alimentación,4,307.97,1231.88,2025-12-27,Este,0.29
76913,Sistema Ultra 950,deportes,3,283.4,850.2,2025-04-18,Norte,0.21
69049,Dispositivo Plus 155,alimentación,7,23.91,167.37,2026-02-01,Este,0.04
63200,Unidad Premium 246,alimentación,20,544.09,10881.8,2025-12-27,Oeste,0.07
13652,Unidad Plus 707,juguetes,17,610.68,10381.56,2025-10-06,Este,0.16
86704,Unidad Ultra 798,alimentación,14,826.44,11570.16,2025-11-03,Sur,0.2
54180,Kit Premium 740,deportes,11,111.1,1222.1,2025-11-08,Sur,0.04
38530,Sistema Ultra 970,deportes,18,888.02,15984.36,2026-01-06,Centro,0.06
55216,Hub Smart 309,electrónica,7,591.79,4142.53,2025-08-28,Norte,0.07
70153,Pack Ultra 745,deportes,3,715.15,2145.45,2025-04-03,Sur,0.11
49322,Unidad Plus 970,juguetes,1,992.75,992.75,2025-04-17,Sur,0.11
16488,Set Pro 591,juguetes,10,800.95,8009.5,2025-10-24,Centro,0.07
